id_nom_voie;nom_voie
1;SAINTE CATHERINE
2;GEORGES THORETTON
3;DE MAGENTA
4;SAINTE FOY
5;PAUL DENUCE
6;DE LA SOLIDARITE
7;GEORGES CLEMENCEAU
8;GASTON BUSSIERE
9;JULES AUFFRET
10;D ADELAIAU
11;DE LA FOSSE AUX BICHES
12;D AUSTERLITZ
13;SAINT MAUR
14;DE LA REPUBLIQUE
15;DU MOULIN JOLY
16;DU MONT D ARBOIS
17;HELENE LAZAREFF
18;DU PRADO
19;DE LA SABLIERE CAPTE
20;DU VEXIN
21;DU POHER
22;DE LA BUSSIERE
23;JEAN JAURES
24;DE NOTRE DAME DU THIL
25;DU CHATEAU
26;DU CLUZEAU
27;BERTHE MORISOT
28;SAINT MARCEL
29;DE LA VILLE
30;MAL FOCH
31;MER ET GOLF-LE BOUCANIER
32;DU TAILLEUR
33;DE NORMANDIE
34;EDOUARD BAUDOIN
35;MARC ANTOINE MENARD
36;CARNOT
37;DES ETATS DU LANGUEDOC
38;DE CLICHY
39;ALEXANDRE ANQUETIN
40;LA BAYNASSE SUD
41;CLAUDE BERNARD
42;DESSUARD
43;SQUARE CARPEAUX
44;MARCADET
45;MAL DE LATTRE DE TASSIGNY
46;ROBERT DESNOS
47;LE GRAND SOLEIL
48;DE MAREIL
49;ANDRE CHASSEFIERE
50;GEORGES BELJEAN
51;DE LA TELECABINE
52;DES NOISETIERS
53;DE L EGALITE
54;DES VESPINS RN7
55;DES PAQUERETTES
56;DE VARSOVIE
57;DES DOUVES
58;MAETERLINCK
59;ERARD
60;JULES GUESDE
61;DE CHARENTON
62;DE BELFORT
63;DE CHAMPAGNE
64;GOLF SAINT LAURENT
65;JEAN BAPTISTE CLEMENT
66;FERDINAND BUISSON
67;FRANCOIS LAPERT
68;D ABONDANCE
69;EMERIAU
70;DES JARDINS
71;DE LA DIVISION LECLERC
72;DIVISION LECLERC
73;DE PRUNEVEAUX
74;DU GRAND MADIER
75;MARCEAU
76;DE DENTON
77;DU HAUT POITOU
78;ROUGET DE L ISLE
79;LES ARPEGES BD DES ABA
80;JEAN PERRIN
81;ARTAUD
82;DE GRAMMONT
83;DU CLOS SAINT NICOLAS
84;CAMPANE
85;DU COMMANDANT TAILLANDIER
86;MESSIER
87;DE LA BRESLE
88;LES SAVELS
89;DES VALLEES
90;JOSEPHINE
91;LES LIGNIERES
92;DU GENERAL DE GAULLE
93;DE PROVENCE
94;JEAN-JACQUES ROUSSEAU
95;KONRAD ADENAUER
96;FRANCIS DAVSO
97;DE LA SAUGE
98;MARMONTEL
99;DU BAS RUET
100;DES SOEURS MACARONS
101;DU LITTORAL
102;DAUMESNIL
103;DES ERABLES
104;DES COLLONGES
105;DU COLONEL FABIEN
106;LES CHENEVRIERS
107;DE LA SABLIERE
108;DENFERT ROCHEREAU
109;LES BOIS DU CERF
110;HENRI CHEVREAU
111;DES MENDRIES
112;DES LILAS
113;DE LA MUZELLE MT DE LANS
114;LA GARENNE A BREFAUT
115;PAUL DEROULEDE
116;DES CAPUCINES
117;P CASSAGNAVERE
118;DU PAPIER COUCHE
119;DE L'OUEST
120;DES 3 CHENES
121;DES HIRONDELLES
122;DE BILINA
123;LE ST VINCENT
124;DUHESME
125;DU 14 JUILLET
126;CHARLES KOECHLIN
127;DU R P CH GILBERT
128;DE LA SABOTTE
129;DES BOURGUIGNONS
130;D ORLEANS RN 20
131;HENRY LEMONNIER
132;DES POISSONNIERS
133;NEUVE
134;DE LA GARE
135;LEPIC
136;VICTOR HUGO
137;BERNARD JUGAULT
138;DE DERRIERE LES JARDINS
139;DE TORCY
140;JEAN DE LA FONTAINE
141;DE LA BRIQUETERIE
142;LOUIS PASTEUR
143;MSTISLAV ROSTROPOVITCH
144;DU BAC
145;AUX NAMPS
146;DAMREMONT
147;DENAIN
148;DE SAINT LAURENT
149;DE LA HAUTE RIVE
150;GRAND PLACE
151;FERNAND THUILLART
152;KLEBER
153;GABRIELE  D ANNUNZIO
154;DES AUBADES
155;DES GREFFIERS
156;DU MOUTIER
157;LEGENDRE
158;DES ANEMONES
159;DES BOULANGERS
160;ARNAVIELLE
161;ROSSINI
162;NIQUET
163;SAINT PAUL
164;DE LA BANQUE
165;DE SAINTONGE
166;D'AUTRICHE
167;GEORGE SAND
168;CLAUDE MIVIERE
169;ARTHUR RIMBAUD
170;DES GRAVIERS
171;DES COLONNES
172;DU MARENSIN
173;DE L ESCOURCHE
174;VALROSE
175;GUSTAVE GANAY
176;DE BUCI
177;HALIFAX
178;DE CRONSTADT
179;ANQUETIL
180;DE COLMAR
181;MULATRESSE SOLITUDE
182;DES MOULINS
183;JACQUES CARTIER
184;SAINT VINCENT
185;PIERRE DE COUBERTIN
186;BONNE GARDE
187;DU JURANCON
188;D ALSACE LORRAINE
189;MONTTESSUY
190;SAINT DENIS
191;LOUVIOT
192;PAUL VERLAINE
193;PESTEL
194;DE VAUX
195;DU PETIT MARGAT
196;ROBERT LEUTHREAU
197;PAUL HENRY THILLOY
198;LOUIS BLANC
199;ROBERT DOISNEAU
200;LAURENT FIGNON
201;FESSART
202;PHILIPPE AUGUSTE
203;ROBERT DE THORIGNY
204;SIMONE
205;LES TROIS TOURS 2
206;DOYEN GOSSE
207;DE L ABBE CARTON
208;BOSCARY
209;DE TRUCY
210;TRAVERSIERE
211;HENRI HERTZ
212;DE L OCCIDENT
213;ETIENNE POULET
214;MICHEL DUBOSC
215;VICTOR CAUVIN
216;PASTEUR
217;DU DOCTEUR ROBERT
218;DU TONDU
219;BIR HAKEIM
220;LAMARTINE
221;COGNACQ JAY
222;DE PORH MEN GUEN
223;CRUDERE
224;REMY DUMONCEL
225;GALLIENI
226;BELLEVUE
227;CLAUDE VELLEFAUX
228;PIERRE ET MARIE CURIE
229;PLICHON
230;SADI CARNOT
231;THEAULON
232;DE LA JARRY
233;FIEF DES COUTS
234;HENRI BARBUSSE
235;HENRI DURRE
236;DE L ATLANTIQUE
